"","PassengerId","Type","Survived","Pclass","Sex","Age","Alone","lnFare","Embarked_S","Embarked_C","Embarked_Q"
"36",927,"TEST",0,3,1,18.5,1,1.97812837997935,0,1,0
"37",928,"TEST",1,3,0,23,1,2.08567209143047,1,0,0
"38",929,"TEST",1,3,0,21,1,2.15900336451602,1,0,0
"39",930,"TEST",0,3,1,25,1,2.2512917986065,1,0,0
"40",931,"TEST",0,3,1,28,1,4.03416629910613,1,0,0
"41",932,"TEST",0,3,1,39,0,2.59650019966543,0,1,0
"42",933,"TEST",0,1,1,42,1,3.27902974768795,1,0,0
"43",934,"TEST",0,3,1,41,1,2.06051353179432,1,0,0
"44",935,"TEST",1,2,0,30,1,2.56494935746154,1,0,0
"45",936,"TEST",1,1,0,45,0,3.96184501801123,1,0,0
"46",937,"TEST",0,3,1,25,1,2.07002231976334,1,0,0
"47",938,"TEST",0,1,1,45,1,3.39114704580865,0,1,0
"48",939,"TEST",0,3,1,65,1,2.04769284336526,0,0,1
"49",940,"TEST",1,1,0,60,1,4.33456415124619,0,1,0
"50",941,"TEST",1,3,0,36,0,2.76631910922619,1,0,0
"51",942,"TEST",0,1,1,24,0,4.0943445622221,1,0,0
"52",943,"TEST",0,2,1,27,1,2.71026774054316,0,1,0
"53",944,"TEST",1,2,0,20,0,3.13549421592915,1,0,0
"54",945,"TEST",1,1,0,28,0,5.57215403217776,1,0,0
"55",946,"TEST",0,2,1,27,1,2.74593669124235,0,1,0
"56",947,"TEST",0,3,1,10,0,3.37159691188586,0,0,1
"57",948,"TEST",0,3,1,35,1,2.06633097252974,1,0,0
"58",949,"TEST",0,3,1,25,1,2.03470564783844,1,0,0
"59",950,"TEST",0,3,1,30,0,2.77881927199042,1,0,0
"60",951,"TEST",1,1,0,36,1,5.5697747781408,0,1,0
"61",952,"TEST",0,3,1,17,1,2.06633097252974,1,0,0
"62",953,"TEST",0,2,1,32,1,2.60268968544438,1,0,0
"63",954,"TEST",0,3,1,18,1,2.04769284336526,1,0,0
"64",955,"TEST",1,3,0,22,1,2.04446182278381,0,0,1
"65",956,"TEST",0,1,1,13,0,5.5697747781408,0,1,0
"66",957,"TEST",1,2,0,31,1,3.04452243772342,1,0,0
"67",958,"TEST",1,3,0,18,1,2.06422637587336,0,0,1
"68",959,"TEST",0,1,1,47,1,3.74714836223791,1,0,0
"69",960,"TEST",0,1,1,31,1,3.35121901185591,0,1,0
"70",961,"TEST",1,1,0,60,0,5.57215403217776,1,0,0
"71",962,"TEST",1,3,0,24,1,2.04769284336526,0,0,1
"72",963,"TEST",0,3,1,21,1,2.06633097252974,1,0,0
"73",964,"TEST",1,3,0,29,1,2.07002231976334,1,0,0
"74",965,"TEST",0,1,1,28.5,1,3.32218303393412,0,1,0
"75",966,"TEST",1,1,0,35,1,5.35422499848633,0,1,0
"76",967,"TEST",0,1,1,32.5,1,5.35422499848633,0,1,0
"77",968,"TEST",0,3,1,32,1,2.08567209143047,1,0,0
"78",969,"TEST",1,1,0,55,0,3.24649099190117,1,0,0
"79",970,"TEST",0,2,1,30,1,2.56494935746154,1,0,0
"80",971,"TEST",1,3,0,24,1,2.04769284336526,0,0,1
"81",972,"TEST",0,3,1,6,0,2.7243040552851,0,1,0
"82",973,"TEST",0,1,1,67,0,5.40168229234028,1,0,0
"83",974,"TEST",0,1,1,49,1,3.25809653802148,1,0,0
"84",975,"TEST",0,3,1,21,1,2.06633097252974,1,0,0
"85",976,"TEST",0,2,1,61,1,2.37101914170196,0,0,1
"86",977,"TEST",0,3,1,26,0,2.6709850297652,0,1,0
"87",978,"TEST",1,3,0,27,1,2.06422637587336,0,0,1
"88",979,"TEST",1,3,0,18,1,2.08567209143047,1,0,0
"89",980,"TEST",1,3,0,24,1,2.04769284336526,0,0,1
"90",981,"TEST",0,2,1,2,0,3.13549421592915,1,0,0
"91",982,"TEST",1,3,0,22,0,2.63188884013665,1,0,0
"92",983,"TEST",0,3,1,26,1,2.0509134580653,1,0,0
"93",984,"TEST",1,1,0,27,0,3.95124371858143,1,0,0
"94",985,"TEST",0,3,1,32,1,2.08567209143047,1,0,0
"95",986,"TEST",0,1,1,25,1,3.25809653802148,0,1,0
"96",987,"TEST",0,3,1,25,1,2.05358512713461,1,0,0
"97",988,"TEST",1,1,0,70.5,0,4.36754731340905,1,0,0
"98",989,"TEST",0,3,1,29,1,2.07002231976334,1,0,0
"99",990,"TEST",1,3,0,20,1,2.06104842056294,1,0,0
"100",991,"TEST",0,3,1,33,1,2.08567209143047,1,0,0
"101",992,"TEST",1,1,0,43,0,4.01533201819219,0,1,0
"102",993,"TEST",0,2,1,27,0,3.25809653802148,1,0,0
"103",994,"TEST",0,3,1,65,1,2.04769284336526,0,0,1
"104",995,"TEST",0,3,1,26,1,2.0509134580653,1,0,0
"105",996,"TEST",1,3,0,16,0,2.14202894186827,0,1,0
"106",997,"TEST",0,3,1,28,1,3.1146258034944,1,0,0
"107",998,"TEST",0,3,1,21,1,2.05678685111503,0,0,1
"108",999,"TEST",0,3,1,65,1,2.04769284336526,0,0,1
"109",1000,"TEST",0,3,1,24,1,2.16475877608664,1,0,0
"110",1001,"TEST",0,2,1,18.5,1,2.56494935746154,1,0,0
"111",1002,"TEST",0,2,1,41,1,2.71109888248023,0,1,0
"112",1003,"TEST",1,3,0,24,1,2.05145350513967,0,0,1
"113",1004,"TEST",1,1,0,36,1,3.45566031410212,0,1,0
"114",1005,"TEST",1,3,0,18.5,1,1.98558405620398,0,0,1
"115",1006,"TEST",1,1,0,63,0,5.40168229234028,1,0,0
"116",1007,"TEST",0,3,1,18,0,2.6709850297652,0,1,0
"117",1008,"TEST",0,3,1,22.5,1,1.86214026598985,0,1,0
"118",1009,"TEST",1,3,0,1,0,2.81540871942271,1,0,0
"119",1010,"TEST",0,1,1,36,1,4.32070559854228,0,1,0
"120",1011,"TEST",1,2,0,29,0,3.25809653802148,1,0,0
"121",1012,"TEST",1,2,0,12,1,2.75684036527164,1,0,0
"122",1013,"TEST",0,3,1,65,0,2.04769284336526,0,0,1
"123",1014,"TEST",1,1,0,35,0,4.0561233494019,0,1,0
"124",1015,"TEST",0,3,1,28,1,1.98100146886658,1,0,0
"125",1016,"TEST",0,3,1,65,1,2.04769284336526,0,0,1
"126",1017,"TEST",1,3,0,17,0,2.77881927199042,1,0,0
"127",1018,"TEST",0,3,1,22,1,2.05358512713461,1,0,0
"128",1019,"TEST",1,3,0,18,0,3.14630513203337,0,0,1
"129",1020,"TEST",0,2,1,42,1,2.56494935746154,1,0,0
"130",1021,"TEST",0,3,1,24,1,2.08567209143047,1,0,0
"131",1022,"TEST",0,3,1,32,1,2.08567209143047,1,0,0
"132",1023,"TEST",0,1,1,53,1,3.3499040872746,0,1,0
"133",1024,"TEST",1,3,0,8,0,3.23737171640403,1,0,0
"134",1025,"TEST",0,3,1,12,0,1.86214026598985,0,1,0
"135",1026,"TEST",0,3,1,43,1,2.06633097252974,1,0,0
"136",1027,"TEST",0,3,1,24,1,2.06104842056294,1,0,0
"137",1028,"TEST",0,3,1,26.5,1,1.9775472339985,0,1,0
"138",1029,"TEST",0,2,1,26,1,2.56494935746154,1,0,0
"139",1030,"TEST",1,3,0,23,1,2.08567209143047,1,0,0
"140",1031,"TEST",0,3,1,40,0,3.84801767545223,1,0,0
"141",1032,"TEST",1,3,0,10,0,3.84801767545223,1,0,0
"142",1033,"TEST",1,1,0,33,1,5.02091560350381,1,0,0
"143",1034,"TEST",0,1,1,61,0,5.5697747781408,0,1,0
"144",1035,"TEST",0,2,1,28,1,3.25809653802148,1,0,0
"145",1036,"TEST",0,1,1,42,1,3.27902974768795,1,0,0
"146",1037,"TEST",0,3,1,31,0,2.89037175789616,1,0,0
"147",1038,"TEST",0,1,1,47,1,3.94859598565899,1,0,0
"148",1039,"TEST",0,3,1,22,1,2.08567209143047,1,0,0
"149",1040,"TEST",0,1,1,42,1,3.27902974768795,1,0,0
"150",1041,"TEST",0,2,1,30,0,3.25809653802148,1,0,0
"151",1042,"TEST",1,1,0,23,0,4.42074602026042,0,1,0
"152",1043,"TEST",0,3,1,33,1,2.06633097252974,0,1,0
"153",1044,"TEST",0,3,1,60.5,1,2.6709850297652,1,0,0
"154",1045,"TEST",1,3,0,36,0,2.50006616154582,1,0,0
"155",1046,"TEST",0,3,1,13,0,3.4464097244837,1,0,0
"156",1047,"TEST",0,3,1,24,1,2.02154756326093,1,0,0
"157",1048,"TEST",1,1,0,29,1,5.40168229234028,1,0,0
"158",1049,"TEST",1,3,0,23,1,2.06104842056294,1,0,0
"159",1050,"TEST",0,1,1,42,1,3.27902974768795,1,0,0
"160",1051,"TEST",1,3,0,26,0,2.62285535503898,1,0,0
"161",1052,"TEST",1,3,0,17,1,2.04553567965004,0,0,1
"162",1053,"TEST",0,3,1,7,0,2.7243040552851,0,1,0
"163",1054,"TEST",1,2,0,26,1,2.60268968544438,1,0,0
"164",1055,"TEST",0,3,1,27,1,1.94591014905531,1,0,0
"165",1056,"TEST",0,2,1,41,1,2.56494935746154,1,0,0
"166",1057,"TEST",1,3,0,26,0,3.09217817182224,1,0,0
"167",1058,"TEST",0,1,1,48,1,3.92189016450581,0,1,0
"168",1059,"TEST",0,3,1,18,0,3.53732955598674,1,0,0
"169",1060,"TEST",1,1,0,44,1,3.32218303393412,0,1,0
"170",1061,"TEST",1,3,0,22,1,2.19304920592574,1,0,0
"171",1062,"TEST",0,3,1,32,1,2.02154756326093,1,0,0
"172",1063,"TEST",0,3,1,27,1,1.9775472339985,0,1,0
"173",1064,"TEST",0,3,1,23,0,2.63188884013665,1,0,0
"174",1065,"TEST",0,3,1,25,1,1.97812837997935,0,1,0
"175",1066,"TEST",0,3,1,40,0,3.4464097244837,1,0,0
"176",1067,"TEST",1,2,0,15,0,3.66356164612965,1,0,0
"177",1068,"TEST",1,2,0,20,1,3.60413822565885,1,0,0
"178",1069,"TEST",0,1,1,54,0,4.01533201819219,0,1,0
"179",1070,"TEST",1,2,0,36,0,3.66356164612965,1,0,0
"180",1071,"TEST",1,1,0,64,0,4.42074602026042,0,1,0
"181",1072,"TEST",0,2,1,30,1,2.56494935746154,1,0,0
"182",1073,"TEST",0,1,1,37,0,4.42074602026042,0,1,0
"183",1074,"TEST",1,1,0,18,0,3.97217692824789,1,0,0
"184",1075,"TEST",0,3,1,65,1,2.04769284336526,0,0,1
"185",1076,"TEST",1,1,0,27,0,5.51149461888159,0,1,0
"186",1077,"TEST",0,2,1,40,1,2.77258872223978,1,0,0
"187",1078,"TEST",1,2,0,21,0,3.04452243772342,1,0,0
"188",1079,"TEST",0,3,1,17,0,2.08567209143047,1,0,0
"189",1080,"TEST",1,3,0,16,0,4.24204591836945,1,0,0
"190",1081,"TEST",0,2,1,40,1,2.56494935746154,1,0,0
"191",1082,"TEST",0,2,1,34,0,3.25809653802148,1,0,0
"192",1083,"TEST",0,1,1,46,1,3.25809653802148,1,0,0
"193",1084,"TEST",0,3,1,11.5,0,2.67414864942653,1,0,0
"194",1085,"TEST",0,2,1,61,1,2.51365606307399,0,0,1
"195",1086,"TEST",0,2,1,8,0,3.48124008933569,1,0,0
"196",1087,"TEST",0,3,1,33,1,2.06104842056294,1,0,0
"197",1088,"TEST",0,1,1,6,0,4.90156419904189,0,1,0
"198",1089,"TEST",1,3,0,18,1,2.0509134580653,1,0,0
"199",1090,"TEST",0,2,1,23,1,2.35137525716348,1,0,0
"200",1091,"TEST",1,3,0,23,1,2.09340608203021,1,0,0
"201",1092,"TEST",1,3,0,18,1,2.7408400239252,0,0,1
"202",1093,"TEST",0,3,1,0.33,0,2.66722820658195,1,0,0
"203",1094,"TEST",0,1,1,47,0,5.42726012246342,0,1,0
"204",1095,"TEST",1,2,0,8,0,3.25809653802148,1,0,0
"205",1096,"TEST",0,2,1,25,1,2.35137525716348,1,0,0
"206",1097,"TEST",0,1,1,28.5,1,3.24811224505315,0,1,0
"207",1098,"TEST",1,3,0,35,1,2.04769284336526,0,0,1
"208",1099,"TEST",0,2,1,24,1,2.35137525716348,1,0,0
"209",1100,"TEST",1,1,0,33,1,3.32218303393412,0,1,0
"210",1101,"TEST",0,3,1,25,1,2.06633097252974,1,0,0
"211",1102,"TEST",0,3,1,32,1,3.1146258034944,1,0,0
"212",1103,"TEST",0,3,1,23,1,1.95302761682418,1,0,0
"213",1104,"TEST",0,2,1,17,1,4.29728540621879,1,0,0
"214",1105,"TEST",1,2,0,60,0,3.25809653802148,1,0,0
"215",1106,"TEST",1,3,0,38,0,2.0509134580653,1,0,0
"216",1107,"TEST",0,1,1,42,1,3.74950407593037,1,0,0
"217",1108,"TEST",1,3,0,19,1,2.06422637587336,0,0,1
"218",1109,"TEST",0,1,1,57,0,5.10513726860277,1,0,0
"219",1110,"TEST",1,1,0,50,0,5.35422499848633,0,1,0
"220",1111,"TEST",0,3,1,32,1,2.08567209143047,1,0,0
"221",1112,"TEST",1,2,0,30,0,2.62888433111635,0,1,0
"222",1113,"TEST",0,3,1,21,1,2.08567209143047,1,0,0
"223",1114,"TEST",1,2,0,22,1,2.35137525716348,1,0,0
"224",1115,"TEST",0,3,1,21,1,2.05358512713461,1,0,0
"225",1116,"TEST",1,1,0,53,1,3.31221315078453,0,1,0
"226",1117,"TEST",1,3,0,9,0,2.7243040552851,0,1,0
"227",1118,"TEST",0,3,1,23,1,2.05358512713461,1,0,0
"228",1119,"TEST",1,3,0,24,1,2.04769284336526,0,0,1
"229",1120,"TEST",0,3,1,40.5,1,2.71469474382088,1,0,0
"230",1121,"TEST",0,2,1,36,1,2.56494935746154,1,0,0
"231",1122,"TEST",0,2,1,14,1,4.17438726989564,1,0,0
"232",1123,"TEST",1,1,0,21,1,3.27902974768795,1,0,0
"233",1124,"TEST",0,3,1,21,0,1.87115581420807,1,0,0
"234",1125,"TEST",0,3,1,26,1,2.06422637587336,0,0,1
"235",1126,"TEST",0,1,1,39,0,4.26666207838721,0,1,0
"236",1127,"TEST",0,3,1,20,1,2.06104842056294,1,0,0
"237",1128,"TEST",0,1,1,64,0,4.32081590362899,0,1,0
"238",1129,"TEST",0,3,1,20,1,1.9775472339985,0,1,0
"239",1130,"TEST",1,2,0,18,0,2.56494935746154,1,0,0
"240",1131,"TEST",1,1,0,48,0,4.66744051171422,0,1,0
"241",1132,"TEST",1,1,0,55,1,3.32218303393412,0,1,0
"242",1133,"TEST",1,2,0,45,0,3.40119738166216,1,0,0
"243",1134,"TEST",0,1,1,45,0,4.90156419904189,0,1,0
"244",1135,"TEST",0,3,1,26,1,2.06527922786733,1,0,0
"245",1136,"TEST",0,3,1,26,0,3.15487049489229,1,0,0
"246",1137,"TEST",0,1,1,41,0,3.94859598565899,1,0,0
"247",1138,"TEST",1,2,0,22,1,3.04452243772342,1,0,0
"248",1139,"TEST",0,2,1,42,0,3.48124008933569,1,0,0
"249",1140,"TEST",1,2,0,29,0,3.25809653802148,1,0,0
"250",1141,"TEST",1,3,0,18,0,2.6709850297652,0,1,0
"251",1142,"TEST",1,2,0,0.92,0,3.32323584019244,1,0,0
"252",1143,"TEST",0,3,1,20,1,2.07002231976334,1,0,0
"253",1144,"TEST",0,1,1,27,0,4.91836794684454,0,1,0
"254",1145,"TEST",0,3,1,24,1,2.23269896552988,1,0,0
"255",1146,"TEST",0,3,1,32.5,1,2.2512917986065,1,0,0
"256",1147,"TEST",0,3,1,32,1,2.02154756326093,1,0,0
"257",1148,"TEST",0,3,1,65,1,2.04769284336526,0,0,1
"258",1149,"TEST",0,3,1,28,1,2.08567209143047,1,0,0
"259",1150,"TEST",1,2,0,19,1,2.56494935746154,1,0,0
"260",1151,"TEST",0,3,1,21,1,2.0509134580653,1,0,0
"261",1152,"TEST",0,3,1,36.5,0,2.85647020622048,1,0,0
"262",1153,"TEST",0,3,1,21,1,2.06104842056294,1,0,0
"263",1154,"TEST",1,2,0,29,0,3.13549421592915,1,0,0
"264",1155,"TEST",1,3,0,1,0,2.50006616154582,1,0,0
"265",1156,"TEST",0,2,1,30,1,2.54455039854884,0,1,0
"266",1157,"TEST",0,3,1,21,1,2.06633097252974,1,0,0
"267",1158,"TEST",0,1,1,40,1,0,1,0,0
"268",1159,"TEST",0,3,1,32,1,2.02154756326093,1,0,0
"269",1160,"TEST",1,3,0,23,1,2.08567209143047,1,0,0
"270",1161,"TEST",0,3,1,17,1,2.15900336451602,1,0,0
"271",1162,"TEST",0,1,1,46,1,4.32070559854228,0,1,0
"272",1163,"TEST",0,3,1,65,1,2.04769284336526,0,0,1
"273",1164,"TEST",1,1,0,26,0,4.91836794684454,0,1,0
"274",1165,"TEST",1,3,0,18,0,2.7408400239252,0,0,1
"275",1166,"TEST",0,3,1,22.5,1,1.9775472339985,0,1,0
"276",1167,"TEST",1,2,0,20,0,3.25809653802148,1,0,0
"277",1168,"TEST",0,2,1,28,1,2.35137525716348,1,0,0
"278",1169,"TEST",0,2,1,40,0,3.25809653802148,1,0,0
"279",1170,"TEST",0,2,1,30,0,3.04452243772342,1,0,0
"280",1171,"TEST",0,2,1,22,1,2.35137525716348,1,0,0
"281",1172,"TEST",1,3,0,23,1,2.15900336451602,1,0,0
"282",1173,"TEST",0,3,1,0.75,0,2.62285535503898,1,0,0
"283",1174,"TEST",1,3,0,24,1,2.04769284336526,0,0,1
"284",1175,"TEST",1,3,0,9,0,2.7243040552851,0,1,0
"285",1176,"TEST",1,3,0,2,0,3.00630122490323,1,0,0
"286",1177,"TEST",0,3,1,36,1,1.98100146886658,1,0,0
"287",1178,"TEST",0,3,1,36,1,1.98100146886658,1,0,0
"288",1179,"TEST",0,1,1,24,0,4.40996640854943,1,0,0
"289",1180,"TEST",0,3,1,25,1,1.97812837997935,0,1,0
"290",1181,"TEST",0,3,1,32,1,2.08567209143047,1,0,0
"291",1182,"TEST",0,1,1,47,1,3.67882911826043,1,0,0
"292",1183,"TEST",1,3,0,30,1,1.9387416595767,0,0,1
"293",1184,"TEST",0,3,1,25,1,1.97812837997935,0,1,0
"294",1185,"TEST",0,1,1,53,0,4.40498970368517,1,0,0
"295",1186,"TEST",0,3,1,36,1,2.2512917986065,1,0,0
"296",1187,"TEST",0,3,1,26,1,2.06633097252974,1,0,0
"297",1188,"TEST",1,2,0,1,0,3.72760004222554,0,1,0
"298",1189,"TEST",0,3,1,7,0,3.07635327552161,0,1,0
"299",1190,"TEST",0,1,1,30,1,3.8177123259569,1,0,0
"300",1191,"TEST",0,3,1,29,1,2.06104842056294,1,0,0
"301",1192,"TEST",0,3,1,32,1,2.0509134580653,1,0,0
"302",1193,"TEST",0,2,1,27,1,2.71109888248023,0,1,0
"303",1194,"TEST",0,2,1,43,0,3.04452243772342,1,0,0
"304",1195,"TEST",0,3,1,24,1,2.15900336451602,1,0,0
"305",1196,"TEST",1,3,0,24,1,2.04769284336526,0,0,1
"306",1197,"TEST",1,1,0,64,0,3.27902974768795,1,0,0
"307",1198,"TEST",0,1,1,30,0,5.02091560350381,1,0,0
"308",1199,"TEST",0,3,1,0.83,0,2.2353763433006,1,0,0
"309",1200,"TEST",0,1,1,55,0,4.53796143629464,1,0,0
"310",1201,"TEST",1,3,0,45,0,2.64676327667848,1,0,0
"311",1202,"TEST",0,3,1,18,1,2.15900336451602,1,0,0
"312",1203,"TEST",0,3,1,22,1,1.9775472339985,0,1,0
"313",1204,"TEST",0,3,1,32,1,2.02485335139543,1,0,0
"314",1205,"TEST",1,3,0,37,1,2.04769284336526,0,0,1
"315",1206,"TEST",1,1,0,55,1,4.90995492057888,0,1,0
"316",1207,"TEST",1,3,0,17,1,2.04553567965004,0,0,1
"317",1208,"TEST",0,1,1,57,0,4.98716739790117,0,1,0
"318",1209,"TEST",0,2,1,19,1,2.35137525716348,1,0,0
"319",1210,"TEST",0,3,1,27,1,2.06104842056294,1,0,0
"320",1211,"TEST",0,2,1,22,0,3.44998754583159,1,0,0
"321",1212,"TEST",0,3,1,26,1,2.0509134580653,1,0,0
"322",1213,"TEST",0,3,1,25,1,1.97812837997935,0,1,0
"323",1214,"TEST",0,2,1,26,1,2.56494935746154,1,0,0
"324",1215,"TEST",0,1,1,33,1,3.27902974768795,1,0,0
"325",1216,"TEST",1,1,0,39,1,5.35345638166308,1,0,0
"326",1217,"TEST",0,3,1,23,1,1.95302761682418,1,0,0
"327",1218,"TEST",1,2,0,12,0,3.66356164612965,1,0,0
"328",1219,"TEST",0,1,1,46,1,4.37197629882038,0,1,0
"329",1220,"TEST",0,2,1,29,0,3.25809653802148,1,0,0
"330",1221,"TEST",0,2,1,21,1,2.56494935746154,1,0,0
"331",1222,"TEST",1,2,0,48,0,3.60413822565885,1,0,0
"332",1223,"TEST",0,1,1,39,1,3.39114704580865,0,1,0
"333",1224,"TEST",0,3,1,22.5,1,1.9775472339985,0,1,0
"334",1225,"TEST",1,3,0,19,0,2.75631324223972,0,1,0
"335",1226,"TEST",0,3,1,27,1,2.06633097252974,1,0,0
"336",1227,"TEST",0,1,1,30,1,3.25809653802148,1,0,0
"337",1228,"TEST",0,2,1,32,1,2.56494935746154,1,0,0
"338",1229,"TEST",0,3,1,39,0,1.97812837997935,0,1,0
"339",1230,"TEST",0,2,1,25,1,3.44998754583159,1,0,0
"340",1231,"TEST",0,3,1,25,1,1.97812837997935,0,1,0
"341",1232,"TEST",0,2,1,18,1,2.35137525716348,1,0,0
"342",1233,"TEST",0,3,1,32,1,2.02540765318735,1,0,0
"343",1234,"TEST",0,3,1,14.5,0,4.24204591836945,1,0,0
"344",1235,"TEST",1,1,0,58,0,6.23896738717366,0,1,0
"345",1236,"TEST",0,3,1,11.5,0,2.67414864942653,1,0,0
"346",1237,"TEST",1,3,0,16,1,2.03470564783844,1,0,0
"347",1238,"TEST",0,2,1,26,1,2.56494935746154,1,0,0
"348",1239,"TEST",1,3,0,38,1,1.97812837997935,0,1,0
"349",1240,"TEST",0,2,1,24,1,2.60268968544438,1,0,0
"350",1241,"TEST",1,2,0,31,1,3.04452243772342,1,0,0
"351",1242,"TEST",1,1,0,45,0,4.14880591633814,0,1,0
"352",1243,"TEST",0,2,1,25,1,2.35137525716348,1,0,0
"353",1244,"TEST",0,2,1,18,1,4.29728540621879,1,0,0
"354",1245,"TEST",0,2,1,49,0,4.17438726989564,1,0,0
"355",1246,"TEST",1,3,0,0.17,0,3.02407674656313,1,0,0
"356",1247,"TEST",0,1,1,50,1,3.25809653802148,1,0,0
"357",1248,"TEST",1,1,0,59,0,3.94117784259164,1,0,0
"358",1249,"TEST",0,3,1,29,1,2.06422637587336,1,0,0
"359",1250,"TEST",0,3,1,65,1,2.04769284336526,0,0,1
"360",1251,"TEST",1,3,0,30,0,2.74406063862524,1,0,0
"361",1252,"TEST",0,3,1,14.5,0,4.24204591836945,1,0,0
"362",1253,"TEST",1,2,0,24,0,3.61103141971557,0,1,0
"363",1254,"TEST",1,2,0,31,1,3.04452243772342,1,0,0
"364",1255,"TEST",0,3,1,27,1,2.15900336451602,1,0,0
"365",1256,"TEST",1,1,0,25,0,4.01533201819219,0,1,0
"366",1257,"TEST",1,3,0,16,0,4.24204591836945,1,0,0
"367",1258,"TEST",0,3,1,26,0,2.67126864412075,0,1,0
"368",1259,"TEST",1,3,0,22,1,3.68103627665291,1,0,0
"369",1260,"TEST",1,1,0,45,0,4.0842942263686,0,1,0
"370",1261,"TEST",0,2,1,29,1,2.62888433111635,0,1,0
"371",1262,"TEST",0,2,1,21,0,2.4423470353692,1,0,0
"372",1263,"TEST",1,1,0,31,1,4.90156419904189,0,1,0
"373",1264,"TEST",0,1,1,49,1,0,1,0,0
"374",1265,"TEST",0,2,1,44,1,2.56494935746154,1,0,0
"375",1266,"TEST",1,1,0,54,0,4.40498970368517,1,0,0
"376",1267,"TEST",1,1,0,45,1,5.5697747781408,0,1,0
"377",1268,"TEST",1,3,0,22,0,2.15900336451602,1,0,0
"378",1269,"TEST",0,2,1,21,1,2.4423470353692,1,0,0
"379",1270,"TEST",0,1,1,55,1,3.91202300542815,1,0,0
"380",1271,"TEST",0,3,1,5,0,3.4464097244837,1,0,0
"381",1272,"TEST",0,3,1,65,1,2.04769284336526,0,0,1
"382",1273,"TEST",0,3,1,26,1,2.06422637587336,0,0,1
"383",1274,"TEST",1,3,0,22,1,2.67414864942653,1,0,0
"384",1275,"TEST",1,3,0,19,0,2.77881927199042,1,0,0
"385",1276,"TEST",0,2,1,30,1,2.5552874465498,1,0,0
"386",1277,"TEST",1,2,0,24,0,4.17438726989564,1,0,0
"387",1278,"TEST",0,3,1,24,1,2.0509134580653,1,0,0
"388",1279,"TEST",0,2,1,57,1,2.56494935746154,1,0,0
"389",1280,"TEST",0,3,1,21,1,2.04769284336526,0,0,1
"390",1281,"TEST",0,3,1,6,0,3.04808750388792,1,0,0
"391",1282,"TEST",0,1,1,23,1,4.53796143629464,1,0,0
"392",1283,"TEST",1,1,0,51,0,3.67376581630389,1,0,0
"393",1284,"TEST",0,3,1,13,0,3.00815479355255,1,0,0
"394",1285,"TEST",0,2,1,47,1,2.35137525716348,1,0,0
"395",1286,"TEST",0,3,1,29,0,3.09217817182224,1,0,0
"396",1287,"TEST",1,1,0,18,0,4.0943445622221,1,0,0
"397",1288,"TEST",0,3,1,24,1,1.98100146886658,0,0,1
"398",1289,"TEST",1,1,0,48,0,4.37197629882038,0,1,0
